,In the Aeroplane Over the Sea_Neutral Milk Hotel
0,beautiful
1,face
2,found
3,place
4,circling
5,round
6,sun
7,beautiful
8,dream
9,could
10,flash
11,screen
12,blink
13,eye
14,gone
15,soft
16,sweet
17,let
18,hold
19,close
20,keep
21,one
22,day
23,die
24,ashes
25,fly
26,aeroplane
27,sea
28,young
29,let
30,us
31,lay
32,sun
33,count
34,every
35,beautiful
36,thing
37,see
38,love
39,arms
40,i'm
41,keeping
42,curious
43,life
44,found
45,tonight
46,music
47,sounds
48,street
49,lights
50,clouds
51,anna's
52,ghost
53,around
54,hear
55,voice
56,rolling
57,ringing
58,soft
59,sweet
60,notes
61,bend
62,reach
63,trees
64,remember
65,would
66,push
67,fingers
68,mouth
69,make
70,muscles
71,move
72,made
73,voice
74,smooth
75,sweet
76,keep
77,know
78,secrets
79,sleep
80,winter
81,clothes
82,one
83,loved
84,long
85,ago
86,even
87,know
88,name
89,beautiful
90,face
91,found
92,place
93,circling
94,'round
95,sun
96,meet
97,cloud
98,i'll
99,laughing
100,loud
101,i'll
102,laughing
103,everyone
104,see
105,can't
106,believe
107,strange
108,anything
